Episode,Action Sequence,Total Reward,Steps Taken,Q-Table
687,"[3, np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.48283976  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 16.87807503 14.28112934 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61057207]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.12679193 -0.82262341  0.0535732 ]
  [10.92384035 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.15607075 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
688,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), 0, np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",16,10,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.48283976  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 16.87807503 14.28112934 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61057207]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.15607075 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
689,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.48283976  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 16.87807503 14.28112934 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61057207]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.15607075 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
690,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.48283976  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 16.87807503 14.28112934 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61057207]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.15607075 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
691,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), 2, np.int64(3), np.int64(1), np.int64(1)]",16,10,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.48283976  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 16.87807503 14.28112934 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61086126]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
692,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), 1, np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.48283976  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.13341151 14.28112934 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61110707]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
693,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.48283976  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.13341151 14.28112934 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61110707]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
694,"[np.int64(3), 0, np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",13,9,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.62419054  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.13341151 14.28112934 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61110707]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
695,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), 2, np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",16,10,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.62419054  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.13341151 14.36198127 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61110707]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
696,"[np.int64(3), np.int64(3), 1, np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.62419054  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.13341151 14.36198127 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61110707]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
697,"[np.int64(3), 0, np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), 1]",13,9,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.74433871  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.13341151 14.36198127 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61110707]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
698,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.74433871  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.13341151 14.36198127 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61110707]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
699,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.74433871  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.13341151 14.36198127 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61110707]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
700,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.74433871  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.13341151 14.36198127 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61110707]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
701,"[np.int64(3), 3, np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",18,8,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.74433871  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.13341151 14.36198127 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61110707]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
702,"[np.int64(3), np.int64(3), np.int64(1), np.int64(3), 1, np.int64(3), np.int64(1), np.int64(1)]",18,8,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.74433871  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 7.98737558 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.35048254 14.36198127 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61131601]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
703,"[np.int64(3), np.int64(3), 0, np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1)]",13,9,"[[[ 4.03338234  4.74217727  5.13852157 11.42517832]
  [-2.39979342 -2.14967013 -2.20547433 10.04263328]
  [-1.59982009 -0.43401128 -2.19026168 -1.40628693]
  [-1.19169757 -1.09141205 -1.494375    8.37439645]
  [-0.95258071 -1.494375   -1.494375   -0.81862399]]

 [[ 6.74433871  6.03004329  8.68434302 13.07913508]
  [-1.64506231 14.3779371  -1.7028651   1.00322401]
  [-0.86350971 16.49730173 -1.27543704  2.96763557]
  [ 2.18020439 -0.76940186  0.66069639 18.53559721]
  [-0.6086113  -1.45958906 -0.59328369  1.14759406]]

 [[ 8.15113951 14.82014219 10.80753939 11.27828313]
  [ 6.73467806 13.38985005 10.43985527 16.65278125]
  [-0.78658965 -0.66604122  2.99513814 17.94805832]
  [ 2.63593168  0.4533597   1.01459427 20.60436969]
  [-0.298875   -0.75       -0.33825844 12.8801235 ]]

 [[-1.494375   16.34972026 -0.99069634  2.14582823]
  [10.58843054 17.35048254 14.36198127 18.581875  ]
  [ 1.977277    5.28517847  1.78609055 20.61131601]
  [ 2.4563479  22.74980745 -0.07874293 -0.15      ]
  [ 0.64530013  6.33316271  1.3625478  24.99999056]]

 [[-0.75       17.34505439 -0.82262341  0.0535732 ]
  [11.57583215 20.6125     15.70588763  7.77904061]
  [17.26227863 22.75       17.36966666 15.31186284]
  [16.41864424 25.         19.39705804 17.35723908]
  [ 0.          0.          0.          0.        ]]]"
